Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,
,,,,4,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.35, ,-0.25, ,5
,,,,5,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.4, ,-0.25, ,5
,,,,6,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.45, ,-0.25, ,5
,,,,7,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.5, ,-0.3, ,5
,,,,8,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.6, ,-0.31, ,5
,,,,9,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.7, ,-0.32, ,5
,,,,10,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.8, ,-0.35, ,5
Meteor,4,skchr_shotst_2,Armor-crushing Shot·Spread,1,20,0,-1,Regen on attack,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds,atk_scale,1.4,def,-0.25,duration,5
,,,,2,20,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.45, ,-0.25, ,5
,,,,3,20,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.5, ,-0.25, ,5
,,,,4,19,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.55, ,-0.3, ,5
,,,,5,19,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.6, ,-0.3, ,5
,,,,6,19,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.65, ,-0.3, ,5
,,,,7,18,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.7, ,-0.35, ,5
,,,,8,17,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.8, ,-0.35, ,5
,,,,9,16,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,1.9, ,-0.35, ,5
,,,,10,15,0,-1,,Immediately deal {{atk_scale}:.0%} physical damage to up to 5 enemies within attack range and inflict {{def}:.0%} defense to the targets for {{duration}:.0f} seconds, ,2, ,-0.4, ,5
ShiraYuki,4,skchr_yuki_1,Whirlwind,1,32,0,25,Regen over time,Increase attack range by {{ability_range_forward_extend}:.0f} tiles,ability_range_forward_extend,2,,,,
,,,,2,31,0,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,3,30,0,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,4,27,5,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,5,26,5,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,6,25,5,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,7,22,10,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,8,21,10,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,9,20,10,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
,,,,10,15,10,25,,Increase attack range by {{ability_range_forward_extend}:.0f} tiles, ,2,,,,
ShiraYuki,4,skchr_yuki_2,Condensed Weapon,1,35,0,25,Regen over time,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration",attack@move_speed,-0.22,attack@atk_scale,0.5,,
,,,,2,34,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.23, ,0.5,,
,,,,3,33,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.24, ,0.5,,
,,,,4,32,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.25, ,0.6,,
,,,,5,31,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.26, ,0.6,,
,,,,6,30,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.27, ,0.6,,
,,,,7,29,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.28, ,0.7,,
,,,,8,28,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.3, ,0.7,,
,,,,9,27,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.32, ,0.7,,
,,,,10,25,0,25,,"Attacks with spinning darts, inflicting {{attack@move_speed}:.0%} movement speed and dealing {{attack@atk_scale}:.0%} magical damage per second for a short duration", ,-0.35, ,0.8,,
Blue Poison,5,skchr_bluep_1,Double Shot·Auto,1,4,0,-1,Regen on attack,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage",atk_scale,1.25,,,,
,,,,2,4,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.3,,,,
,,,,3,4,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.35,,,,
,,,,4,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.4,,,,
,,,,5,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.45,,,,
,,,,6,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.5,,,,
,,,,7,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.55,,,,
,,,,8,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.7,,,,
,,,,9,3,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,1.85,,,,
,,,,10,2,0,-1,,"The next attack will attack an additional target, dealing {{atk_scale}:.0%} physical damage", ,2,,,,
Blue Poison,5,skchr_bluep_2,Poison Spread,1,50,10,20,Regen over time,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies",atk,0.1,,,,
,,,,2,50,10,21,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.1,,,,
,,,,3,50,10,22,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.1,,,,
,,,,4,50,15,23,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.2,,,,
,,,,5,50,15,24,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.2,,,,
,,,,6,50,15,25,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.2,,,,
,,,,7,50,20,26,,"Attack power +{{atk}:.0%}, every attack hits an additional 2 enemies", ,0.3,,,,
,,,,8,47,21,27,,"Attack power +{{atk}:.0%}, every attack hits the main target a second time as well as an additional 2 enemies", ,0.3,,,,
,,,,9,44,22,28,,"Attack power +{{atk}:.0%}, every attack hits the main target a second time as well as an additional 2 enemies", ,0.4,,,,
,,,,10,40,25,30,,"Attack power +{{atk}:.0%}, every attack hits the main target a second time as well as an additional 2 enemies", ,0.5,,,,
Platinum,5,skcom_atk_up[3],Attack Strengthening·Type γ,1,40,0,30,Regen over time,Attack power +{{atk}:.0%},atk,0.3,,,,
,,,,2,40,0,30,,Attack power +{{atk}:.0%}, ,0.35,,,,
,,,,3,40,0,30,,Attack power +{{atk}:.0%}, ,0.4,,,,
,,,,4,37,5,30,,Attack power +{{atk}:.0%}, ,0.45,,,,
,,,,5,37,5,30,,Attack power +{{atk}:.0%}, ,0.5,,,,
,,,,6,37,5,30,,Attack power +{{atk}:.0%}, ,0.55,,,,
,,,,7,35,10,30,,Attack power +{{atk}:.0%}, ,0.6,,,,
,,,,8,34,10,30,,Attack power +{{atk}:.0%}, ,0.75,,,,
,,,,9,33,10,30,,Attack power +{{atk}:.0%}, ,0.9,,,,
,,,,10,30,15,30,,Attack power +{{atk}:.0%}, ,1,,,,
Platinum,5,skchr_platnm_2,Pegasus Sight,1,70,0,0,Regen over time,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration",atk,0.5,,,,
,,,,2,69,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.53,,,,
,,,,3,68,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.56,,,,
,,,,4,67,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.6,,,,
,,,,5,66,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.63,,,,
,,,,6,65,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.66,,,,
,,,,7,63,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.7,,,,
,,,,8,59,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.8,,,,
,,,,9,55,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,0.9,,,,
,,,,10,50,0,0,,"Slightly decreases attack speed, Attack power +{{atk}:.0%}, Increase attack range. Infinite duration", ,1,,,,
Meteorite,5,skchr_meteo_1,Spread Shot,1,5,0,0,Regen on attack,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage",atk_scale,1.35,,,,
,,,,2,5,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.4,,,,
,,,,3,5,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.45,,,,
,,,,4,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.5,,,,
,,,,5,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.55,,,,
,,,,6,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.6,,,,
,,,,7,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.7,,,,
,,,,8,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,1.85,,,,
,,,,9,4,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,2,,,,
,,,,10,3,0,0,,"Increase the explosion radius of the next attack, dealing {{atk_scale}:.0%} physical damage", ,2.15,,,,
Meteorite,5,skchr_meteo_2,High-explosive Round,1,25,0,-1,Regen over time,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds",atk_scale,1.8,def,-130,duration,10
,,,,2,25,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,1.9, ,-130, ,10
,,,,3,25,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2, ,-130, ,10
,,,,4,24,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.1, ,-170, ,10
,,,,5,24,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.2, ,-170, ,10
,,,,6,24,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.3, ,-170, ,10
,,,,7,23,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.4, ,-210, ,10
,,,,8,22,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.6, ,-250, ,10
,,,,9,21,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,2.8, ,-290, ,10
,,,,10,20,0,-1,,"Immediately fire a flame bomb, dealing {{atk_scale}:.0%} physical damage to all enemies within the attack area and inflicting {{def}:.0f} Defense power for {{duration}:.0f} seconds", ,3, ,-330, ,10
Provence,5,skchr_prove_1,Wolf's Eye,1,0,0,0,Passive,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses,atk_scale_up,0.08,hp_ratio_drop,0.2,,
,,,,2,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.09, ,0.2,,
,,,,3,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.1, ,0.2,,
,,,,4,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.12, ,0.2,,
,,,,5,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.13, ,0.2,,
,,,,6,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.14, ,0.2,,
,,,,7,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.16, ,0.2,,
,,,,8,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.19, ,0.2,,
,,,,9,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.22, ,0.2,,
,,,,10,0,0,0,,Increase damage to the target by +{{atk_scale_up}:.0%} for every {{hp_ratio_drop}:.0%} HP the enemy loses, ,0.25, ,0.2,,
Provence,5,skchr_prove_2,Slaughter Sense,1,30,0,20,Regen over time,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP",atk,1.3,,,,
,,,,2,30,0,20,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.35,,,,
,,,,3,30,0,20,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.4,,,,
,,,,4,30,0,25,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.45,,,,
,,,,5,30,0,25,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.5,,,,
,,,,6,30,0,25,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.55,,,,
,,,,7,30,0,30,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.6,,,,
,,,,8,30,0,31,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,1.8,,,,
,,,,9,30,0,32,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,2,,,,
,,,,10,30,0,35,,"Attack power +{{atk}:.0%}, however normal attacks no longer target enemies with higher than 80% HP", ,2.2,,,,
Firewatch,5,skchr_milu_1,Environmental Camouflage,1,30,0,25,Regen over time,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) ,atk,0.24,,,,
,,,,2,30,0,26,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.26,,,,
,,,,3,30,0,27,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.28,,,,
,,,,4,28,0,30,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.32,,,,
,,,,5,28,0,31,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.34,,,,
,,,,6,28,0,32,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.36,,,,
,,,,7,26,0,35,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.4,,,,
,,,,8,24,0,40,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.5,,,,
,,,,9,22,0,45,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.6,,,,
,,,,10,20,0,50,,Attack power +{{atk}:.0%} and gain hidden status (will not be targeted by ranged enemies) , ,0.7,,,,
Firewatch,5,skchr_milu_2,Tactical Radio,1,50,10,0,Regen over time,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies,max_cnt,2,atk_scale,1.8,,
,,,,2,50,10,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,1.9,,
,,,,3,50,10,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,2,,
,,,,4,50,15,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,2.1,,
,,,,5,50,15,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,2.2,,
,,,,6,50,15,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,2.3,,
,,,,7,50,20,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,2, ,2.4,,
,,,,8,50,20,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,3, ,2.6,,
,,,,9,50,20,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,3, ,2.8,,
,,,,10,50,30,0,,Immediately drop {{max_cnt}:.0f} bombs randomly within attack range (will prioritize positions with enemies). Each bomb deals {{atk_scale}:.0%} physical damage to all nearby enemies, ,3, ,3,,
Exusiai,6,skchr_angel_1,Assault Mode,1,5,0,0,Regen on attack,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage",times,3,atk_scale,1.05,,
,,,,2,5,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.07,,
,,,,3,5,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.09,,
,,,,4,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.13,,
,,,,5,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.15,,
,,,,6,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.17,,
,,,,7,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.21,,
,,,,8,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.29,,
,,,,9,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.37,,
,,,,10,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} damage", ,3, ,1.45,,
Exusiai,6,skchr_angel_2,Strafing Mode,1,45,15,15,Regen over time,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage",attack@times,4,attack@atk_scale,1,,
,,,,2,44,15,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1,,
,,,,3,43,15,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1,,
,,,,4,42,15,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.05,,
,,,,5,41,15,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.05,,
,,,,6,40,15,15,,"Attacks deal {{attack@times}:.0f} hits, with each hit dealing {{attack@atk_scale}:.0%} damage", ,4, ,1.05,,
