Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,
,,,,5,21,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.6,,,,
,,,,6,20,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.7,,,,
,,,,7,19,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.8,,,,
,,,,8,18,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.95,,,,
,,,,9,17,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,2.1,,,,
,,,,10,15,10,0,,"Pull 2 faraway enemies towards self with large force, dealing {{atk_scale}:.0%} physical damage", ,2.25,,,,
Shaw,4,skchr_sqrrel_1,Steam Pump,1,6,0,0,Regen over time,"The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage",atk_scale,1.05,,,,
,,,,2,6,0,0,,"The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage", ,1.1,,,,
,,,,3,6,0,0,,"The next attack will push the target away with small force, dealing {{atk_scale}:.0%} physical damage", ,1.15,,,,
,,,,4,6,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.24,,,,
,,,,5,6,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.27,,,,
,,,,6,6,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.3,,,,
,,,,7,6,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.35,,,,
,,,,8,5,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.4,,,,
,,,,9,5,0,0,,"The next attack will push the target away with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.45,,,,
,,,,10,5,0,0,,"The next attack will push the target away with large force, dealing {{atk_scale}:.0%} physical damage", ,1.5,,,,
Shaw,4,skchr_sqrrel_2,High-pressure Water Cannon,1,20,0,0,Regen over time,"Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage",atk_scale,1.8,,,,
,,,,2,20,0,0,,"Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage", ,1.9,,,,
,,,,3,20,0,0,,"Immediately push away all enemies 2 tiles ahead with small force, dealing {{atk_scale}:.0%} physical damage", ,2,,,,
,,,,4,20,0,0,,"Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage", ,2.1,,,,
,,,,5,20,0,0,,"Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage", ,2.2,,,,
,,,,6,20,0,0,,"Immediately push away all enemies 2 tiles ahead with medium force, dealing {{atk_scale}:.0%} physical damage", ,2.3,,,,
,,,,7,20,0,0,,"Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage", ,2.4,,,,
,,,,8,19,0,0,,"Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage", ,2.6,,,,
,,,,9,18,0,0,,"Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage", ,2.8,,,,
,,,,10,17,0,0,,"Immediately push away all enemies 2 tiles ahead with large force, dealing {{atk_scale}:.0%} physical damage", ,3,,,,
Projekt Red,5,skchr_red_1,Execution Mode,1,0,0,10,Passive,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion",atk,0.35,prob,0.2,,
,,,,2,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.4, ,0.2,,
,,,,3,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.45, ,0.2,,
,,,,4,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.5, ,0.3,,
,,,,5,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.55, ,0.3,,
,,,,6,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.6, ,0.3,,
,,,,7,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.65, ,0.4,,
,,,,8,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.7, ,0.4,,
,,,,9,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.75, ,0.4,,
,,,,10,0,0,10,,"Attack power +{{atk}:.0%} after deploying, additionally gain {{prob}:.0%} physical evasion", ,0.8, ,0.5,,
Projekt Red,5,skchr_red_2,Wolf Pack,1,0,0,0,Passive,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds,atk_scale,1.4,stun,1,,
,,,,2,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,1.5, ,1,,
,,,,3,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,1.6, ,1,,
,,,,4,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,1.7, ,1.5,,
,,,,5,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,1.8, ,1.5,,
,,,,6,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,1.9, ,1.5,,
,,,,7,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,2, ,2,,
,,,,8,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,2.1, ,2.3,,
,,,,9,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,2.3, ,2.6,,
,,,,10,0,0,0,,Immediately deal {{atk_scale}:.0%} physical damage to all nearby enemies after deploying and stun them for {stun} seconds, ,2.5, ,3,,
Cliffheart,5,skchr_slchan_1,Chain Hook,1,7,0,0,Regen over time,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} magical damage",atk_scale,1.15,,,,
,,,,2,7,0,0,,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} magical damage", ,1.18,,,,
,,,,3,7,0,0,,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} magical damage", ,1.2,,,,
,,,,4,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.25,,,,
,,,,5,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.28,,,,
,,,,6,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.3,,,,
,,,,7,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.35,,,,
,,,,8,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.5,,,,
,,,,9,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} magical damage", ,1.65,,,,
,,,,10,4,0,0,,"The next attack will pull the enemy towards self with large force, dealing {{atk_scale}:.0%} magical damage", ,1.8,,,,
Cliffheart,5,skchr_slchan_2,Binding Chain,1,25,10,0,Regen over time,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with small force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds",max_target,2,atk_scale,1.3,stun,1.5
,,,,2,24,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with small force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.35, ,1.5
,,,,3,23,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with small force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.4, ,1.5
,,,,4,22,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.5, ,1.5
,,,,5,21,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.55, ,1.5
,,,,6,20,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.6, ,1.5
,,,,7,19,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,2, ,1.7, ,1.5
,,,,8,18,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,3, ,1.8, ,2
,,,,9,17,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with medium force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,3, ,1.9, ,2.5
,,,,10,15,10,0,,"Immediately pull up to {{max_target}:.0f} enemies from a large area ahead towards self with large force, dealing {{atk_scale}:.0%} damage that ignores defense and magic resistance and stuns them for {stun} seconds", ,3, ,2, ,3
Manticore,5,skchr_mantic_1,Scorpion Venom,1,0,0,-1,Passive,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds,move_speed,-0.23,duration,3,,
,,,,2,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.25, ,3,,
,,,,3,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.27, ,3,,
,,,,4,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.29, ,3.5,,
,,,,5,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.31, ,3.5,,
,,,,6,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.33, ,3.5,,
,,,,7,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.35, ,4,,
,,,,8,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.4, ,4,,
,,,,9,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.45, ,4,,
,,,,10,0,0,-1,,Every attack inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,-0.5, ,5,,
Manticore,5,skchr_mantic_2,Charging Poison Strike,1,20,0,31,Regen over time,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds",atk,0.3,attack@stun,0.5,,
,,,,2,20,0,32,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.35, ,0.5,,
,,,,3,20,0,33,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.4, ,0.5,,
,,,,4,20,0,34,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.45, ,0.6,,
,,,,5,20,0,35,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.5, ,0.6,,
,,,,6,20,0,36,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.55, ,0.6,,
,,,,7,20,5,37,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.6, ,0.7,,
,,,,8,20,6,38,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.7, ,0.8,,
,,,,9,20,8,39,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.8, ,0.9,,
,,,,10,20,10,40,,"Slows attack animation, Increase attack interval, Attack power +{{atk}:.0%}, attacked targets get stunned for {attack@stun} seconds", ,0.9, ,1,,
FEater,5,skchr_panda_1,Metallic Union,1,6,0,-1,Regen over time,"The next attack will push the target away with small force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds",move_speed,-0.15,duration,3,,
,,,,2,6,0,-1,,"The next attack will push the target away with small force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.16, ,3,,
,,,,3,6,0,-1,,"The next attack will push the target away with small force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.17, ,3,,
,,,,4,6,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.18, ,4,,
,,,,5,6,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.19, ,4,,
,,,,6,6,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.2, ,4,,
,,,,7,6,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.21, ,4,,
,,,,8,5,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.24, ,5,,
,,,,9,5,0,-1,,"The next attack will push the target away with medium force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.27, ,5,,
,,,,10,5,0,-1,,"The next attack will push the target away with large force, inflicting {{move_speed}:.0%} movement speed for {{duration}:.0f} seconds", ,-0.3, ,5,,
FEater,5,skchr_panda_2,Collapsing Strike,1,20,0,-1,Regen over time,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds",atk_scale,1.6,move_speed,-0.15,duration,3
,,,,2,20,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.65, ,-0.16, ,3
,,,,3,20,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.7, ,-0.17, ,3
,,,,4,19,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.75, ,-0.18, ,4
,,,,5,19,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.8, ,-0.19, ,4
,,,,6,19,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with medium force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.85, ,-0.2, ,4
,,,,7,18,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with large force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,1.9, ,-0.21, ,4
,,,,8,17,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with large force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,2.1, ,-0.24, ,5
,,,,9,16,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with large force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,2.3, ,-0.27, ,5
,,,,10,15,0,-1,,"Immediately rush forward and target the closest enemy in a straight line ahead, pushing back all enemies around the target with huge force and dealing {{atk_scale}:.0%} physical damage. Additionally, inflict {{move_speed}:.0%} movement speed to all targets for {{duration}:.0f} seconds", ,2.5, ,-0.3, ,5
