Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,,,
,,,,3,9,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,1.5, ,-100, ,2,,
,,,,4,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,1.6, ,-100, ,2,,
,,,,5,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,1.7, ,-100, ,2,,
,,,,6,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,1.8, ,-100, ,2,,
,,,,7,8,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,1.9, ,-200, ,3,,
,,,,8,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,2.15, ,-200, ,3,,
,,,,9,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,2.25, ,-200, ,3,,
,,,,10,7,0,-1,,"The next attack power deals {{atk_scale}:.0%} magical damage. Additionally, inflict {{def}:.0f} defense and burn the target for 3 seconds. Can hold {{ct}:.0f} charge(s)", ,2.5, ,-300, ,3,,
Ifrit,6,skchr_ifrit_3,Burning Ground,1,40,0,20,Regen over time,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second",atk_scale,0.75,magic_resistance,-7,hp_ratio,0.02,,
,,,,2,39,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,0.8, ,-7, ,0.02,,
,,,,3,38,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,0.85, ,-7, ,0.02,,
,,,,4,36,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,0.9, ,-7, ,0.02,,
,,,,5,35,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,0.95, ,-7, ,0.02,,
,,,,6,34,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,1, ,-7, ,0.02,,
,,,,7,31,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,1.1, ,-10, ,0.02,,
,,,,8,30,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,1.2, ,-13, ,0.02,,
,,,,9,29,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,1.3, ,-16, ,0.02,,
,,,,10,28,0,20,,"Deal {{atk_scale}:.0%} magical damage to enemies in attack range every second and inflict {{magic_resistance}:.0f} magic resistance. However, Ifrit loses {{hp_ratio}:.0%} of her Max HP every second", ,1.4, ,-20, ,0.02,,
Eyjafjalla,6,skchr_amgoat_1,Double Chant,1,45,10,25,Regen over time,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}",amgoat_s_1[a].attack_speed,30,amgoat_s_1[b].atk,0.3,,,,
,,,,2,44,10,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,32, ,0.32,,,,
,,,,3,43,10,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,35, ,0.35,,,,
,,,,4,42,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,38, ,0.38,,,,
,,,,5,41,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,40, ,0.4,,,,
,,,,6,40,15,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,42, ,0.42,,,,
,,,,7,39,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,45, ,0.45,,,,
,,,,8,38,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,50, ,0.5,,,,
,,,,9,37,20,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,55, ,0.55,,,,
,,,,10,35,25,25,,"Attack speed +{{amgoat_s_1[a].attack_speed}:.0f}. On the 2nd cast and onwards, additionally increase Attack power by +{{amgoat_s_1[b].atk}:.0%}", ,60, ,0.6,,,,
Eyjafjalla,6,skchr_amgoat_2,Ignite,1,7,0,-1,Regen over time,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",fk,2.4,magic_resistance,-0.1,duration,6,ct,1
,,,,2,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,2.5, ,-0.1, ,6, ,1
,,,,3,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,2.6, ,-0.1, ,6, ,1
,,,,4,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,2.75, ,-0.15, ,6, ,2
,,,,5,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,2.85, ,-0.15, ,6, ,2
,,,,6,7,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,2.95, ,-0.15, ,6, ,2
,,,,7,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,3.1, ,-0.2, ,6, ,2
,,,,8,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,3.3, ,-0.2, ,6, ,3
,,,,9,6,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,3.5, ,-0.2, ,6, ,3
,,,,10,5,0,-1,,"The next attack deals {{fk}:.0%} magical damage, with enemies nearby the target receiving half the damage. Additionally, inflict {{magic_resistance}:.0%} magic resistance to all targets for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)", ,3.7, ,-0.25, ,6, ,3
Eyjafjalla,6,skchr_amgoat_3,Volcano,1,80,30,15,Regen over time,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range",atk,0.55,attack@max_target,3,,,,
,,,,2,80,31,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range", ,0.6, ,3,,,,
,,,,3,80,32,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range", ,0.65, ,3,,,,
,,,,4,80,33,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range", ,0.7, ,4,,,,
,,,,5,80,34,15,,"Attack power +{{atk}:.0%}, Increase attack range, Greatly reduce attack interval. Attacks by firing lava randomly at up to {{attack@max_target}:.0f} enemies within attack range", ,0.75, ,4,,,,
