Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,,,
,,,,2,79,30,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.3, ,2.2,,,,
,,,,3,78,30,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.3, ,2.3,,,,
,,,,4,77,32,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.4, ,2.4,,,,
,,,,5,76,32,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.4, ,2.5,,,,
,,,,6,75,32,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.4, ,2.6,,,,
,,,,7,74,34,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.5, ,2.7,,,,
,,,,8,73,36,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.6, ,2.8,,,,
,,,,9,72,38,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.7, ,2.9,,,,
,,,,10,70,40,25,,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x", ,0.8, ,3,,,,
Matoimaru,4,skcom_heal_self[2],Health Recovery·Type β,1,30,0,0,Regen over time,Immediately recover {{heal_scale}:.0%} of Max HP,heal_scale,0.2,,,,,,
,,,,2,29,0,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.23,,,,,,
,,,,3,28,0,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.26,,,,,,
,,,,4,27,3,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.3,,,,,,
,,,,5,26,3,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.33,,,,,,
,,,,6,25,3,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.36,,,,,,
,,,,7,24,7,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.4,,,,,,
,,,,8,23,8,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.43,,,,,,
,,,,9,22,9,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.46,,,,,,
,,,,10,20,10,0,,Immediately recover {{heal_scale}:.0%} of Max HP, ,0.5,,,,,,
Matoimaru,4,skchr_gyuki_2,Demon Strength,1,35,0,10,Regen over time,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}",atk,0.75,,,,,,
,,,,2,35,0,10,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,0.8,,,,,,
,,,,3,35,0,10,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,0.85,,,,,,
,,,,4,32,0,11,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,0.9,,,,,,
,,,,5,32,0,11,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,0.95,,,,,,
,,,,6,32,0,11,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,1,,,,,,
,,,,7,29,5,12,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,1.05,,,,,,
,,,,8,28,6,13,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,1.2,,,,,,
,,,,9,27,7,14,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,1.35,,,,,,
,,,,10,25,10,15,,"Reduce self Defense power to 0, Attack power +{{atk}:.0%}", ,1.5,,,,,,
Frostleaf,4,skchr_frostl_1,Frosty Spear,1,5,0,-1,Regen over time,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds,atk_scale,1.05,move_speed,-0.2,duration,1.5,,
,,,,2,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.1, ,-0.23, ,1.5,,
,,,,3,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.15, ,-0.25, ,1.5,,
,,,,4,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.2, ,-0.28, ,2,,
,,,,5,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.25, ,-0.3, ,2,,
,,,,6,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.3, ,-0.33, ,2,,
,,,,7,4,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.35, ,-0.35, ,2.5,,
,,,,8,3,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.4, ,-0.4, ,2.5,,
,,,,9,3,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.45, ,-0.45, ,2.5,,
,,,,10,3,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{move_speed}:.0%} movement speed to the target for {duration} seconds, ,1.5, ,-0.5, ,3,,
Frostleaf,4,skchr_frostl_2,Freezing Spear,1,60,0,25,Regen over time,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds,attack_speed,5,move_speed,-0.3,prob,0.15,debuff,1.5
,,,,2,59,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,10, ,-0.32, ,0.15, ,1.5
,,,,3,58,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,15, ,-0.34, ,0.15, ,1.5
,,,,4,57,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,20, ,-0.36, ,0.2, ,1.5
,,,,5,56,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,25, ,-0.38, ,0.2, ,1.5
,,,,6,55,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,30, ,-0.4, ,0.2, ,1.5
,,,,7,54,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,35, ,-0.42, ,0.25, ,1.5
,,,,8,53,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,40, ,-0.44, ,0.3, ,2
,,,,9,52,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,45, ,-0.46, ,0.35, ,2
,,,,10,50,0,25,,Attack speed +{{attack_speed}:.0f}. Every attack inflicts {{move_speed}:.0%} movement speed and has {{prob}:.0%} chance to freeze the target (unable to move) for {debuff} seconds, ,50, ,-0.5, ,0.4, ,2
Estelle,4,skcom_atk_up[2],Attack Strengthening·Type β,1,40,0,25,Regen over time,Attack power +{{atk}:.0%},atk,0.2,,,,,,
,,,,2,40,0,25,,Attack power +{{atk}:.0%}, ,0.25,,,,,,
,,,,3,40,0,25,,Attack power +{{atk}:.0%}, ,0.3,,,,,,
,,,,4,37,0,25,,Attack power +{{atk}:.0%}, ,0.35,,,,,,
,,,,5,37,0,25,,Attack power +{{atk}:.0%}, ,0.4,,,,,,
,,,,6,37,0,25,,Attack power +{{atk}:.0%}, ,0.45,,,,,,
,,,,7,37,5,25,,Attack power +{{atk}:.0%}, ,0.5,,,,,,
,,,,8,37,5,25,,Attack power +{{atk}:.0%}, ,0.6,,,,,,
,,,,9,37,5,25,,Attack power +{{atk}:.0%}, ,0.7,,,,,,
,,,,10,35,10,25,,Attack power +{{atk}:.0%}, ,0.8,,,,,,
Estelle,4,skchr_estell_2,Self-sacrifice,1,25,10,15,Regen when attacked,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators",atk,0.85,,,,,,
,,,,2,25,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,0.9,,,,,,
,,,,3,25,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,0.95,,,,,,
,,,,4,24,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1,,,,,,
,,,,5,24,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.05,,,,,,
,,,,6,24,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.1,,,,,,
,,,,7,23,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.15,,,,,,
,,,,8,22,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.25,,,,,,
,,,,9,21,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.35,,,,,,
,,,,10,20,10,15,,"Attack power +{{atk}:.0%}, Become unable to be healed by other operators", ,1.5,,,,,,
Mousse,4,skchr_frncat_1,Cat Scratch,1,6,0,0,Regen on attack,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds,atk,0.3,frncat_s_1[debuff].atk,-0.15,frncat_s_1[debuff].duration,5,,
,,,,2,6,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.35, ,-0.15, ,5,,
,,,,3,6,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.4, ,-0.15, ,5,,
,,,,4,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.45, ,-0.2, ,5,,
,,,,5,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.5, ,-0.2, ,5,,
,,,,6,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.55, ,-0.2, ,5,,
,,,,7,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.6, ,-0.25, ,5,,
,,,,8,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.65, ,-0.3, ,5,,
,,,,9,5,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.7, ,-0.35, ,5,,
,,,,10,4,0,0,,The next attack deals +{{atk}:.0%} damage and inflicts {{frncat_s_1[debuff].atk}:.0%} attack power to the target for {frncat_s_1[debuff].duration} seconds, ,0.75, ,-0.4, ,5,,
Mousse,4,skchr_frncat_2,Bristling Fur,1,80,20,40,Regen over time,Attack and Defense power +{{atk}:.0%},atk,0.27,,,,,,
,,,,2,80,21,40,,Attack and Defense power +{{atk}:.0%}, ,0.3,,,,,,
,,,,3,80,22,40,,Attack and Defense power +{{atk}:.0%}, ,0.33,,,,,,
,,,,4,80,25,40,,Attack and Defense power +{{atk}:.0%}, ,0.36,,,,,,
,,,,5,80,26,40,,Attack and Defense power +{{atk}:.0%}, ,0.39,,,,,,
,,,,6,80,27,40,,Attack and Defense power +{{atk}:.0%}, ,0.42,,,,,,
,,,,7,80,30,40,,Attack and Defense power +{{atk}:.0%}, ,0.45,,,,,,
,,,,8,80,35,40,,Attack and Defense power +{{atk}:.0%}, ,0.55,,,,,,
,,,,9,80,40,40,,Attack and Defense power +{{atk}:.0%}, ,0.65,,,,,,
,,,,10,80,45,40,,Attack and Defense power +{{atk}:.0%}, ,0.75,,,,,,
Franka,5,skcom_quickattack[3],Swift Strike·Type γ,1,45,0,35,Regen over time,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",atk,0.2,attack_speed,20,,,,
,,,,2,44,0,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.22, ,20,,,,
,,,,3,43,0,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.24, ,20,,,,
,,,,4,42,5,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.27, ,25,,,,
,,,,5,41,5,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.29, ,25,,,,
,,,,6,40,5,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.31, ,25,,,,
,,,,7,39,10,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.34, ,35,,,,
,,,,8,38,10,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.37, ,35,,,,
,,,,9,37,10,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.4, ,35,,,,
,,,,10,35,15,35,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.45, ,45,,,,
Franka,5,skchr_franka_2,Extreme Sharpness,1,20,0,20,Regen over time,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x",atk,0.5,talent_scale,2.5,,,,
,,,,2,20,0,20,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.53, ,2.5,,,,
,,,,3,20,0,20,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.56, ,2.5,,,,
,,,,4,20,0,23,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.6, ,2.5,,,,
,,,,5,20,0,23,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.63, ,2.5,,,,
,,,,6,20,0,23,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.66, ,2.5,,,,
,,,,7,20,5,26,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.7, ,2.5,,,,
,,,,8,20,5,27,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.8, ,2.5,,,,
,,,,9,20,5,28,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,0.9, ,2.5,,,,
,,,,10,20,10,30,,"Reduce Defense power to 0, Attack power +{{atk}:.0%}, Increase activation chance of defense-ignore talent by {talent_scale}x", ,1, ,2.5,,,,
Indra,5,skchr_tiger_1,Armor-crushing Fist,1,4,0,0,Regen on attack,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense,atk,0.5,def_penetrate,0.35,,,,
,,,,2,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,0.6, ,0.35,,,,
,,,,3,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,0.7, ,0.35,,,,
,,,,4,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,0.8, ,0.4,,,,
,,,,5,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,0.9, ,0.4,,,,
,,,,6,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,1, ,0.4,,,,
,,,,7,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,1.1, ,0.45,,,,
,,,,8,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,1.2, ,0.5,,,,
,,,,9,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,1.3, ,0.55,,,,
,,,,10,4,0,0,,The next attack deals +{{atk}:.0%} damage and ignores {{def_penetrate}:.0%} of enemy defense, ,1.4, ,0.6,,,,
Indra,5,skchr_tiger_2,Soul Rend,1,50,0,25,Regen over time,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt",atk,0.45,heal_scale,0.1,,,,
,,,,2,50,0,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.5, ,0.1,,,,
,,,,3,50,0,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.55, ,0.1,,,,
,,,,4,50,5,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.6, ,0.15,,,,
,,,,5,50,5,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.65, ,0.15,,,,
,,,,6,50,5,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.7, ,0.15,,,,
,,,,7,50,10,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.75, ,0.2,,,,
,,,,8,50,15,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,0.9, ,0.2,,,,
,,,,9,50,20,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,1.05, ,0.2,,,,
,,,,10,50,25,25,,"Attack power +{{atk}:.0%}, change damage type to magical damage, every attack recovers {{heal_scale}:.0%} of the damage dealt", ,1.2, ,0.25,,,,
Lappland,5,skchr_whitew_1,Sundial,1,40,0,-1,Regen on attack,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration",atk,0.3,prob,0.2,,,,
,,,,2,40,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.33, ,0.2,,,,
,,,,3,40,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.37, ,0.2,,,,
,,,,4,37,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.43, ,0.25,,,,
,,,,5,37,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.47, ,0.25,,,,
,,,,6,37,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.5, ,0.25,,,,
,,,,7,33,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.55, ,0.3,,,,
,,,,8,32,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.6, ,0.33,,,,
,,,,9,31,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.65, ,0.36,,,,
,,,,10,30,0,-1,,"Attack power +{{atk}:.0%}, {{prob}:.0%} chance to block physical damage. Infinite duration", ,0.7, ,0.4,,,,
Lappland,5,skchr_whitew_2,Wolf Spirit,1,30,0,15,Regen on attack,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation",atk,0.6,,,,,,
,,,,2,29,0,15,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.65,,,,,,
,,,,3,28,0,15,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.7,,,,,,
,,,,4,27,0,15,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.75,,,,,,
,,,,5,26,0,15,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.8,,,,,,
,,,,6,25,0,15,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.85,,,,,,
,,,,7,24,0,17,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,0.9,,,,,,
,,,,8,22,0,17,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,1,,,,,,
,,,,9,20,0,17,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,1.1,,,,,,
,,,,10,17,0,20,,"Attack power +{{atk}:.0%}, change damage type to magical damage, attack an additional target, ranged attacks no longer reduce Attack power. Automatic activation", ,1.2,,,,,,
Specter,5,skcom_atk_up[3],Attack Strengthening·Type γ,1,40,0,30,Regen over time,Attack power +{{atk}:.0%},atk,0.3,,,,,,
,,,,2,40,0,30,,Attack power +{{atk}:.0%}, ,0.35,,,,,,
,,,,3,40,0,30,,Attack power +{{atk}:.0%}, ,0.4,,,,,,
,,,,4,37,5,30,,Attack power +{{atk}:.0%}, ,0.45,,,,,,
,,,,5,37,5,30,,Attack power +{{atk}:.0%}, ,0.5,,,,,,
,,,,6,37,5,30,,Attack power +{{atk}:.0%}, ,0.55,,,,,,
,,,,7,35,10,30,,Attack power +{{atk}:.0%}, ,0.6,,,,,,
,,,,8,34,10,30,,Attack power +{{atk}:.0%}, ,0.75,,,,,,
,,,,9,33,10,30,,Attack power +{{atk}:.0%}, ,0.9,,,,,,
,,,,10,30,15,30,,Attack power +{{atk}:.0%}, ,1,,,,,,
Specter,5,skchr_ghost_2,Fractured Body,1,45,20,10,Regen over time,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends",atk,0.4,stun,10,,,,
,,,,2,45,20,10,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,0.5, ,10,,,,
,,,,3,45,20,10,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,0.6, ,10,,,,
,,,,4,45,25,11,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,0.7, ,10,,,,
,,,,5,45,25,11,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,0.8, ,10,,,,
,,,,6,45,25,11,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,0.9, ,10,,,,
,,,,7,43,30,12,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,1, ,10,,,,
,,,,8,42,30,13,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,1.2, ,10,,,,
,,,,9,41,30,14,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,1.4, ,10,,,,
,,,,10,40,35,15,,"Prevents the operator's HP from falling below 1 while the skill is active, Attack power +{{atk}:.0%}. Operator is stunned for {{stun}:.0f} seconds after the skill ends", ,1.6, ,10,,,,
SilverAsh,6,skchr_svrash_1,Powerful Strike·Type γ,1,4,0,0,Regen on attack,The next attack deals {{atk_scale}:.0%} damage,atk_scale,1.9,,,,,,
,,,,2,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.95,,,,,,
,,,,3,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2,,,,,,
,,,,4,3,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.05,,,,,,
,,,,5,3,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.1,,,,,,
,,,,6,3,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.15,,,,,,
