Character,Name,Latest,English,Japanese
char_134_ifrit_5#9,Ifrit,就因为我讲了你两句，赫默还拿走了我的辣椒干，这都怪你！,,
char_134_ifrit_5#2,Ifrit,喂，你还笑？！,"Hey, you still smiling? !",
-----,-----,-----,-----,-----
,PLAYER,我知道她藏辣椒干的地方。,I know where she hid your chilies.,
,PLAYER,......,...,
,PLAYER,炭烤沙虫腿，来一根？,"Charcoal-roasted sandworm leg, you want some?",
-----,-----,-----,-----,-----
char_134_ifrit_5#7,Ifrit,真的？！在哪？！,Really?! Where?!,
char_134_ifrit_5#7,Ifrit,真要跟你一起拿了，你和我肯定都会挨骂。,,
-----,-----,-----,-----,-----
char_134_ifrit_5#2,Ifrit,别一直笑啊，又不说话，很奇怪呀！,Don't laugh all the time and not talk again. It's strange!,
char_134_ifrit_5#2,Ifrit,你是不是压根就不想回答我啊？,"I think you don't even want to answer me at all, right?",
-----,-----,-----,-----,-----
char_134_ifrit_5#9,Ifrit,恶，博士，这是什么？,"Oh, doctor, what is this?",
char_134_ifrit_5#9,Ifrit,拿走拿走，我不要！——唔唔唔？,"Take it away, take it away, I don't want it! ——HMM?",
char_134_ifrit_5#7,Ifrit,唔？,Huh?,
char_134_ifrit_5#7,Ifrit,（咀嚼）呃。,,
char_134_ifrit_5#7,Ifrit,（吞咽）咕嘟......啊？,,
char_134_ifrit_5#7,Ifrit,我，我吃了什么？,What did I-I just ate?,
char_134_ifrit_5#7,Ifrit,算了......,Nevermind...,
-----,-----,-----,-----,-----
char_134_ifrit_5#5,Ifrit,对了，博士，赫默明天是不是要去出任务？,"Right, Doctor, is Silence taking me out on a mission tomorrow?",
char_134_ifrit_5#5,Ifrit,带上我一起，怎么样？我的实力，你知道的对吧？,"Why don't you take me with you? You know I'm strong, right?",
char_134_ifrit_5#5,Ifrit,你去和她说说，让我也去看看吧？,Why don't you talk to her and let me go out?,
-----,-----,-----,-----,-----
,PLAYER,这次行动是收尾，你更擅长战斗吧？,,
,PLAYER,这个月投诉有点多，先忍忍吧？,,
-----,-----,-----,-----,-----
char_134_ifrit_5#7,Ifrit,搞什么，你说的那些我也会啊？,What the hell? I can do those things you're talking about.,
char_134_ifrit_5#7,Ifrit,那为什么我们现在没得战斗，让我去啊，我一定要给其他人看看我的实力！,"Why are there no fights now? Let me go anyways, I must show the others my strength!",
-----,-----,-----,-----,-----
char_134_ifrit_5#2,Ifrit,我这能烧干整个战场的火力，他们就是做不到才嫉妒我吧！,,
char_134_ifrit_5#2,Ifrit,我才不管那些人怎么说呢！,,
-----,-----,-----,-----,-----
char_134_ifrit_5#2,Ifrit,赫默和你总该相信我吧？,"Silence and you should trust me, right?",
char_134_ifrit_5#2,Ifrit,其他人不能理解，我没关系，又不关我的事，,,
char_134_ifrit_5#2,Ifrit,但为什么连你们也这么说！为什么呀！,,
-----,-----,-----,-----,-----
,PLAYER,伊芙利特，冷静！,"Ifrit, calm down!",
char_134_ifrit_5#8,Ifrit,咳！,Hurgh!,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_134_ifrit_5#7,Ifrit,烦死了。,I feel annoying as hell.,
char_134_ifrit_5#7,Ifrit,算了，去他的。我看看，这题这题还有这题......都填C。,"Forget it. F it. Let's take a look at these questions, this one this one and this one... Fill it all with C.",
char_134_ifrit_5#7,Ifrit,还有这题......看不太懂，算了随便写写。,"And this question... I don't understand it, I'll just write whatever.",
char_134_ifrit_5#1,Ifrit,这样就成了......！,Now it's done...!,
-----,-----,-----,-----,-----
,Medic Operator,到做检查的时间了，伊芙利特。,"It's time for your check-up, Ifrit.",
char_134_ifrit_5#9,Ifrit,恶。,Urgh.,
char_134_ifrit_5#9,Ifrit,烦人的家伙来了。,Here comes the annoying guy.,
char_016_medic,Medic Operator,怎么一股烧着了的味道......,,
char_016_medic,Medic Operator,伊芙利特？打扰一下。,,
char_016_medic,Medic Operator,今天要做一个血液源石结晶密度检查，请你配合......嗯？这桌子是怎么回事，怎么被烧焦了？,,
char_134_ifrit_5#9,Ifrit,没什么。就是个意外。,It's nothing. It was an accident.,
char_016_medic,Medic Operator,伊芙利特......这样很危险的。,Ifrit... that's dangerous.,
char_016_medic,Medic Operator,罗德岛内部是不允许出现明火的，如果是你的话，更要好好控制。,,
char_016_medic,Medic Operator,我跟他们说了，不可以用抑制类的药物，但也需要你好好配合......,,
char_134_ifrit_5#9,Ifrit,......,...,
char_134_ifrit_5#9,Ifrit,啰嗦死了。烦不烦啊！,You're so wordy. Don't you feel yourself tired of it!,
char_016_medic,Medic Operator,......伊芙利特，我只是个普通的护士，我不太会带孩子，,"... Ifrit, I'm just a regular nurse. I'm not good with kids.",
char_016_medic,Medic Operator,如果可以的话，我们能好好交流......,"If we could, we could talk this out...",
char_134_ifrit_5#2,Ifrit,谁又是孩子了，你好烦啊？！,Who's the kid again? You're being annoying? !,
char_134_ifrit_5#2,Ifrit,为什么我要摊上你这种人，就不能让我一个人呆着吗？！,Why can't I just be left alone when I have people like you? !,
-----,-----,-----,-----,-----
char_016_medic,Medic Operator,伊芙利特......我也有自己的工作的。,Ifrit... I have my own work to do.,
char_134_ifrit_5#2,Ifrit,那就别管我的事！说过好多次了，那些穿着白大褂的，我看见就难受！,,
char_134_ifrit_5#2,Ifrit,快让开，别挡着我出门。,,
char_016_medic,Medic Operator,可是，检查......,But your check-up...,
char_134_ifrit_5#2,Ifrit,我让你别挡路！,I told you to get out of the way!,
char_134_ifrit_5#4,Ifrit,啊！！,Ahhh!!,
char_134_ifrit_5#4,Ifrit,我，我的作业！烧，烧起来了！,M-my homework! It's b-burning!,
char_134_ifrit_5#2,Ifrit,你搞什么，搞什么啊？！,What did you do? What did you do? !,
char_016_medic,Medic Operator,伊芙利特！快，快灭火！,Ifrit! P-put out the fire now!,
char_134_ifrit_5#2,Ifrit,都说了，让我一个人呆着！！,I told you to leave me alone!!,
char_134_ifrit_5#2,Ifrit,你怎么赔我！,How are you going to compensate me!,
char_016_medic,Medic Operator,不行，不行！我去叫夜莺小姐，请等一下！,"I can't! I'll call Miss Nightingale. Just a moment, please!",
char_134_ifrit_5#8,Ifrit,......不，不行。,...N-no.,
char_134_ifrit_5#8,Ifrit,我又做了什么啊，可恶......,"What did I do, damn...",
char_134_ifrit_5#8,Ifrit,哎，作业！,"*Sigh*, homework!",
char_134_ifrit_5#3,Ifrit,嗯......破破烂烂的。,Hmm... It's in tatters.,
char_134_ifrit_5#3,Ifrit,（赫默也不肯带上我。可恶，明明我那么强！）,"(Silence wouldn't take me either. Damn, I'm obviously strong!)",
char_134_ifrit_5#3,Ifrit,（现在博士也出去了，就只剩下那些讨人厌的白大褂......）,"(Now Doctor's gone too, and all that's left are those annoying white coats... )",
char_134_ifrit_5#3,Ifrit,（真烦，这么怕我的话干脆就离我远点啊。）,"(That's so annoying. If you're afraid of me, just stay away from me.)",
char_134_ifrit_5#3,Ifrit,（本子......稍稍烧焦了一点，不过还行吧？）,"(The book... is a little burnt, but it should be alright?)",
char_134_ifrit_5#3,Ifrit,（算了，总之先把练习题放到博士的办公桌上，应该就OK了？）,"(Anyway, let's just put the homework on Doctor's desk.)",
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_193_frostl_1#4,Frostleaf,？ ,,
char_193_frostl_1#6,Frostleaf,......,...,
char_193_frostl_1#6,Frostleaf,有什么事？,What's the matter?,
char_144_red_7#7,Projekt Red,！,!,
char_193_frostl_1#3,Frostleaf,你这样行动，一般干员会被吓到的。,"If you act like this, the other general operators will be frightened.",
char_144_red_7#6,Projekt Red,我只是在走路。,I'm just walking.,
char_193_frostl_1#3,Frostleaf,一般干员是不会在墙面上走路的。,,
char_144_red_7#4,Projekt Red,？,?,
char_193_frostl_1#5,Frostleaf,算了。,Nevermind.,
char_193_frostl_1,Frostleaf,你手上拿的是......,What you have in your hand is...,
char_144_red_7,Projekt Red,是作业。,My homework.,
char_144_red_7,Projekt Red,麻烦。但凯尔希说，这要听博士的。红没得选。,Troublesome. But Kalt'sit says it's up to Doctor. Red has no choice.,
char_144_red_7,Projekt Red,这里你懂吗？这个词汇。红不理解。,Do you understand them? This word. Red doesn't understand.,
char_193_frostl_1#6,Frostleaf,你居然会......居然会问我问题。,You're actually... asking me questions.,
char_144_red_7,Projekt Red,你不会吗？,Do you know how do this?,
char_193_frostl_1#3,Frostleaf,我试试好了，就先让我看看吧。,Let me have a try.,
char_193_frostl_1#3,Frostleaf,这个词，嗯，也不是很难理解。,"This word, well, it's not hard to understand.",
char_193_frostl_1,Frostleaf,......大概就是这样。,... Something like that.,
char_193_frostl_1,Frostleaf,这样说，能懂吗？我怕我讲得不好。,Does that make sense? I'm afraid I can't explain it well.,
char_144_red_7,Projekt Red,可以。很清楚。,I can understand. It's clear.,
-----,-----,-----,-----,-----
char_193_frostl_1,Frostleaf,那就好。,That's good.,
char_193_frostl_1,Frostleaf,不过，你其实也可以直接问博士？博士的解答，肯定比我的更准确。,But why don't you ask Doctor directly? Doctor's answer must be more accurate than mine.,
char_144_red_7,Projekt Red,也可以。但红觉得和霜叶说话轻松。,I can do that. But Red thought it was easier to talk to Frostleaf.,
char_193_frostl_1,Frostleaf,......这样。,... I see.,
-----,-----,-----,-----,-----
,？？？,你们堵在这干什么呢！,What are you doing standing here?,
char_134_ifrit_5,Ifrit,咦，这不是小红帽吗？真神奇，你居然没直接出现在课堂上......,"Why, isn't this little red riding hood? It's amazing you didn't show up in class...",
char_144_red_7,Projekt Red,——伊芙利特。,——Ifrit.,
char_193_frostl_1,Frostleaf,伊芙利特，别那么靠近她。,"Ifrit, don't stand too close to her.",
char_193_frostl_1,Frostleaf,红她有很强的防范意识，会下意识地反应，别被伤到。,,
char_144_red_7,Projekt Red,防范意识？,Defensive awareness?,
char_193_frostl_1,Frostleaf,靠近你五厘米的东西会怎么样？,What happens to something five centimeters closer to you?,
char_144_red_7,Projekt Red,红切掉。,Red will cut it.,
char_193_frostl_1,Frostleaf,你看。 ,,
char_134_ifrit_5,Ifrit,哈......你这个冰块脸还挺了解她的嘛？,"Ha... it seems you know her well, ice face.",
char_193_frostl_1,Frostleaf,干员手册我是有好好请教杜宾老师的。,I consulted Instrutor Doberman about the operator manual.,
char_193_frostl_1,Frostleaf,不过红，对别的干员，可以稍微放轻松一些吗？,,
char_144_red_7#4,Projekt Red,？,?,
char_193_frostl_1,Frostleaf,算了......,Nevermind...,
char_134_ifrit_5#6,Ifrit,噗，哈哈哈哈。,,
char_144_red_7,Projekt Red,很好笑？,,
char_134_ifrit_5#3,Ifrit,唉？,,
char_193_frostl_1,Frostleaf,红，她不是这个意思。,,
char_134_ifrit_5#7,Ifrit,啧。,Damn.,
char_193_frostl_1,Frostleaf,嗯......？你藏在背后的是什么？,,
char_134_ifrit_5#7,Ifrit,啊？哦，是，是作业啦。,,
char_134_ifrit_5#7,Ifrit,本伊芙利特大人可是轻轻松松做完了啊。,,
char_193_frostl_1,Frostleaf,是吗......嗯，那就好。,,
char_144_red_7,Projekt Red,红闻到了烧焦的味道。,,
char_144_red_7,Projekt Red,伊芙利特，作业烧了。,,
char_134_ifrit_5#8,Ifrit,......,...,
char_134_ifrit_5#8,Ifrit,我不是有意的。,,
char_144_red_7,Projekt Red,哦。,,
char_134_ifrit_5#9,Ifrit,......你是不是觉得我没完成作业，用火烧掉了？,,
char_144_red_7,Projekt Red,红不知道。,,
char_134_ifrit_5#9,Ifrit,想说就说啊，别这样说话。,,
char_144_red_7,Projekt Red,？,?,
char_193_frostl_1#6,Frostleaf,别，伊芙利特，红是真的不太会说......,,
char_144_red_7,Projekt Red,你生气了？,,
char_134_ifrit_5#9,Ifrit,......,...,
char_134_ifrit_5#9,Ifrit,烦死了，好讨厌啊。我为什么要和你一起上课啊。,,
char_134_ifrit_5#9,Ifrit,今天怎么搞的，真是烦透了......怎么这么不走运啊我。,What's with today? I'm so annoyed... Why am I so unlucky?,
char_193_frostl_1,Frostleaf,冷静点，伊芙利特。,"Calm down, Ifrit.",
char_193_frostl_1,Frostleaf,我能感觉到周围的温度在升高，这很危险。,,
char_134_ifrit_5#2,Ifrit,......啊？,... Huh?,
char_134_ifrit_5#2,Ifrit,你懂什么啊？我好得很，别用那种好像什么都知道一样的语气和我说话！,What do you know about me? I'm fine. Don't talk to me like you know everything!,
char_144_red_7#7,Projekt Red,威胁？,,
char_193_frostl_1#6,Frostleaf,红，别会错意！她只是习惯了这么说话！,,
,,怪物。,,
char_134_ifrit_5#9,Ifrit,呃。,Hmm.,
char_144_red_7,Projekt Red,明白。,,
char_134_ifrit_5#2,Ifrit,你哪里明白了......？,,
-----,-----,-----,-----,-----
,,怪物。,,
,,伤害别人的怪物。烧掉一切的怪物。克制不住自己的怪物。,,
-----,-----,-----,-----,-----
char_134_ifrit_5#9,Ifrit,我，很痛，很痛啊......,,
,,怪物。,,
-----,-----,-----,-----,-----
char_144_red_7#5,Projekt Red,你要着火了？ ,,
char_193_frostl_1#6,Frostleaf,等一下，伊芙利特......不是现在。,,
char_134_ifrit_5#2,Ifrit,关你们什么事？,,
-----,-----,-----,-----,-----
,,怪物。,,
-----,-----,-----,-----,-----
char_134_ifrit_5#2,Ifrit,你们又懂我哪些了？,,
-----,-----,-----,-----,-----
,,怪物。,,
-----,-----,-----,-----,-----
char_193_frostl_1#6,Frostleaf,快住手！,,
char_144_red_7#5,Projekt Red,她威胁我。不，她威胁到了罗德岛。,,
char_193_frostl_1#6,Frostleaf,不要动手，红！她只是一时发热！,,
char_193_frostl_1#6,Frostleaf,你们两个——,,
char_134_ifrit_5#2,Ifrit,谁发热了？你是不是想说我头脑发热？我清醒得很！你那点冷气根本不顶用，快走开，你也想被烧成灰吗！,,
-----,-----,-----,-----,-----
,,不要。不行。,,
-----,-----,-----,-----,-----
char_144_red_7#5,Projekt Red,控制不了自己。很弱。,,
char_134_ifrit_5#2,Ifrit,小红帽，你会被烤焦！,,
,,怪物。,,
,,不，不可以，那些是朋友。,,
-----,-----,-----,-----,-----
char_193_frostl_1#6,Frostleaf,别！伊芙利特！,,
,,怪物！,,
,,不！我不是！！,,
-----,-----,-----,-----,-----
,,火焰在燃烧。,,
,,火焰在疯狂的燃烧。,,
,,巨大的怪物咯咯直笑。,,
,,白色的房间被烧的又黑又焦。,,
,,有人在哭，有人在跑。,,
,,哎呀，这是哪里呢？,,
,,有人走了过来，好熟悉，好高......,,
-----,-----,-----,-----,-----
char_134_ifrit_5#8,Ifrit,不要......,,
char_134_ifrit_5#8,Ifrit,塞......救......大家......,,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
char_249_muesys_8#8,？？？,哎呀，哎呀哎呀，大家这是在做什么呢。,"Oh, oh, oh, what are you guys doing?",
char_249_muesys_8#8,？？？,伊芙芙？在走廊上点火可不行哦。塞雷娅知道了会生气的。当然，赫默也是。,,
char_249_muesys_8#8,？？？,去......！,Go...!,
char_134_ifrit_5#4,Ifrit,不，不是......你不是......,,
char_249_muesys_8#8,？？？,水分子的集群，去让火焰安静下来吧......,,
char_134_ifrit_5#3,Ifrit,？！ ,,
char_134_ifrit_5#3,Ifrit,噗哈——这水也太冰了！,Brrr—— this water is too cold!,
char_134_ifrit_5#4,Ifrit,哎......缪缪？！,,
char_134_ifrit_5#4,Ifrit,缪缪，帮帮我......我不想......,,
char_249_muesys_8#1,？？？,嘘——可不要告诉其他人我来玩哦。,Shh——don't tell anyone I'm coming to play.,
char_249_muesys_8#1,？？？,没问题！就交给我吧。,,
char_249_muesys_8#1,？？？,呵呵，看到你还是这么有精神，我就放心啦。,"Haha, I see you still have your spirit, then I can set my mind at ease.",
char_249_muesys_8#1,？？？,不过，要好好遵守我们之间约定哦，伊芙芙？,,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
,,粗暴。,Rough of you.,
,,肆意。,Forceful.,
,,横行。,Rampage.,
,,总是在破坏。,Always breaking stuff.,
-----,-----,-----,-----,-----
,,......,...,
,,我自己其实也是知道的。,,
-----,-----,-----,-----,-----
,,会痛的实验让人讨厌。,,
-----,-----,-----,-----,-----
,,那些白大褂的目光让人讨厌。,,
-----,-----,-----,-----,-----
,,这 片 大 地 让 人 讨 厌。,,
-----,-----,-----,-----,-----
,,说什么人生。,,
,,说什么未来。,,
,,只要我放一把火，只要火烧得够旺，所有那些用讨厌眼神看着我的人，那些白色的墙壁和刺鼻的消毒水，所有所有，全都会消失在火中。,,
,,只要我喜欢的人还在就好了。,,
,,其他人怎么样关我什么事？,,
-----,-----,-----,-----,-----
,,——在来到这里之前，我一直是这么想的。,,
,,我一直觉得自己是这么想的。,,
-----,-----,-----,-----,-----
,,但是现在不一样了。,,
-----,-----,-----,-----,-----
,,粗暴。,Rough of you.,
-----,-----,-----,-----,-----
,,哎我当然知道。,Of course I know.,
-----,-----,-----,-----,-----
,,肆意。,Forceful.,
-----,-----,-----,-----,-----
,,行啦我会小心点的。,"I know. Okay, I'll be careful.",
-----,-----,-----,-----,-----
,,横行。,Rampage.,
,,......也没那么严重吧？,"... It's not that bad, is it?",
,,总是在破坏。,Always breaking stuff.,
,,我也不想的啊！,I didn't want to do it!,
,,我又不是不明白，很多事情谁想这样啊。,,
,,但至少，哼......,"But at least, humph...",
,,你们说的，我有照着去做。,I shall do what you guys asked of me.,
,,我可不能烧掉罗德岛和作业。,I shall not burn Rhodes Island and my homework.,
,,还有朋友，哼......我的朋友也一定要像我一样了不起呀！,,
,,所以，没事的。我努力的还不够。我还要更加努力！,,
-----,-----,-----,-----,-----
,,看好了，我绝对要让你们大吃一惊！,"Watch me do it, I'm going to surprise you all!",
-----,-----,-----,-----,-----
char_134_ifrit_5#7,Ifrit,哼！！,Humph!!,
-----,-----,-----,-----,-----
,PLAYER, 一下子毁了一整条过道？,,
,PLAYER,炭烤沙虫腿，来一根？,"Charcoal-roasted sandworm leg, you want some?",
char_134_ifrit_5#7,Ifrit,才、才没有！烦死了，不要你管！,"No, no! I'm annoyed to death. Leave me alone!",
char_134_ifrit_5#7,Ifrit,唉......小红帽她们呢，没事吧......,,
char_134_ifrit_5#7,Ifrit,你让小红帽躲开了？哼，算你识相。,,
char_134_ifrit_5#7,Ifrit,我有危险？大家都有危险？啊......,,
-----,-----,-----,-----,-----
char_134_ifrit_5#9,Ifrit,给我也来一根......不、不对！才不要吃啦！ ,,
char_134_ifrit_5#9,Ifrit,我也......吃不下去呀。,,
-----,-----,-----,-----,-----
char_134_ifrit_5#3,Ifrit,那个、走廊的事、唔呃、我也不是有意要破坏的......总之，对、对不起啦！,"That, the corridor thing, uh, I didn't mean to ruin it... Anyways, yeah, I'm sorry!",
char_134_ifrit_5#3,Ifrit,可恶，怎么会搞成这个样子......,"Damn it, how could it end up like this...",
char_134_ifrit_5#3,Ifrit,对了，不是要检查作业吗？给你！,"By the way, don't you have to check your homework? Here!",
-----,-----,-----,-----,-----
,PLAYER,这本本子，看起来饱经火灼啊。,,
,PLAYER,......,...,
char_134_ifrit_5#3,Ifrit,唉，嫌弃的话就别拿啊！,,
char_134_ifrit_5#9,Ifrit,你能看出来这是什么，对吧。,"You can see what this is, right.",
char_134_ifrit_5#7,Ifrit,交给你了，这就是我的作业。,Here you go. This is my homework.,
char_134_ifrit_5#7,Ifrit,出了点小岔子，变成这样......喂，你那是什么表情，你有什么意见吗！,"Something went wrong and it became like this... Hey, you! What is with that facial expression, do you an opinion!",
char_134_ifrit_5#7,Ifrit,总之就是这样！不管你信不信，反正我写完了，我真的写完了！,"Anyway! Believe it or not, I finished it. I really finished it!",
char_134_ifrit_5#7,Ifrit,唔，顶、顶多就是撕坏了一点，被火烧了下，又被水浇了下。,"Well, the top of my homework, at most, was torn a little, burnt, and soak with water.",
char_134_ifrit_5#7,Ifrit,呃呃呃，还有瞎写的题目多了点嘛，今后我会好好写啦！,"Uh uh uh, I blindly written some questions, I promise to answer them well in the future!",
char_134_ifrit_5#3,Ifrit,......,...,
char_134_ifrit_5#3,Ifrit,我又搞砸了。,,
char_134_ifrit_5#3,Ifrit,你要骂就骂吧。对不起。,,
-----,-----,-----,-----,-----
,PLAYER,伊芙利特，把手伸出来。,,
char_134_ifrit_5#3,Ifrit,啊？搞什么啊？,Ah? What the hell?,
char_134_ifrit_5#3,Ifrit,喏。别打太狠哦！,,
char_134_ifrit_5#4,Ifrit,唔？,Huh?,
char_134_ifrit_5#7,Ifrit,这个是......干脆鬼椒？我最喜欢的辣椒干！,,
char_134_ifrit_5#7,Ifrit,欸、啊？是给我的？,,
char_134_ifrit_5#3,Ifrit,什么啊......搞什么啊！混蛋，我告诉你，可别以为区区这么点糖果，就能、就能......,"What... what the hell! Asshole, I'm telling you, don't think this candy will make me, make me...",
char_134_ifrit_5#3,Ifrit,（大声吸鼻子）,(Sniffling loudly),
char_134_ifrit_5#3,Ifrit,哈，算你上道！虽然我还是觉得你们这些穿白大褂的家伙有问题！,,
char_134_ifrit_5#3,Ifrit,你就也勉强算是个例外吧！（小声）,"You are an exception, of sorts! (whisper)",
char_134_ifrit_5#3,Ifrit,不过我可警告你！别总是和赫默一样拿我当小孩子看！,But I warn you! Don't keep treating me like a kid just as Silence do!,
char_134_ifrit_5#3,Ifrit,我真的会生气的！生气起来超——可怕的！,I'm really going to get angry! When I'm angry——I'm scary!,
-----,-----,-----,-----,-----
,PLAYER,你是个很优秀的干员。,,
,PLAYER,很有气势啊，伊芙芙。,,
char_134_ifrit_5#3,Ifrit,呃、呃呃、突然说什么啊，这不是理所当然的吗！,"Uh, uh, suddenly saying stuff like that, is it not a matter of course!",
-----,-----,-----,-----,-----
char_134_ifrit_5#3,Ifrit,噗——咳、咳咳咳。,"*Spit take*——cough, cough, cough.",
char_134_ifrit_5#3,Ifrit,谁告诉你这个称呼，不对，谁、谁允许你这样喊我的啊！,"Who told you this nickname, no, who, who allowed you to call me that!",
-----,-----,-----,-----,-----
,PLAYER,下一次行动，你也出动吧。,,
char_134_ifrit_5#4,Ifrit,！！,!!,
char_134_ifrit_5#4,Ifrit,真的假的？！,Really?!,
char_134_ifrit_5#6,Ifrit,你的意思是下一次会让我也一起去咯？是这个意思吧？啊？你可别骗我啊！,You mean next time you want me to come with you? Is that what it means? Huh? Don't lie to me!,
-----,-----,-----,-----,-----
,PLAYER,但是......,,
-----,-----,-----,-----,-----
char_134_ifrit_5#4,Ifrit,但是什么？,,
char_134_ifrit_5#4,Ifrit,欸你快说啊，不要让我急啊！,,
char_134_ifrit_5#7,Ifrit,心平气和自己想？那是什么，我不懂你在说......,,
char_134_ifrit_5#7,Ifrit,......,...,
char_134_ifrit_5#7,Ifrit,对了，得去道歉啊......,,
char_134_ifrit_5#3,Ifrit,那个每天来看我的姐姐，我不是有意吓她的......我也不想对霜叶她们那么凶......,,
char_134_ifrit_5#3,Ifrit,唉，博士，帮我个忙吧，你帮我去跟她们说吧？,,
-----,-----,-----,-----,-----
,PLAYER,为什么不自己去说呢？,,
,PLAYER,你又吓唬医疗干员了？,,
char_134_ifrit_5#3,Ifrit,我......,,
char_134_ifrit_5#3,Ifrit,这次我肯定犯错了。,,
char_134_ifrit_5#3,Ifrit,虽然他们真的很烦人！但我确实不该那么做的吧…...,,
char_134_ifrit_5#3,Ifrit,我也不想你老因为这些事被别人说啊。,,
-----,-----,-----,-----,-----
,PLAYER,下次我们去海边玩的话，你要不要去？,,
char_134_ifrit_5#4,Ifrit,海边？那是啥？,,
char_134_ifrit_5#4,Ifrit,啊无所谓，要去！我要去！,,
char_134_ifrit_5#7,Ifrit,呃，不，为什么突然要带我去玩？博士你有点奇怪......,,
-----,-----,-----,-----,-----
,PLAYER,因为你表现必须好一点，我才能说服赫默。,,
char_134_ifrit_5#7,Ifrit,切，什么嘛，还是想让我做这做那对吧？,,
-----,-----,-----,-----,-----
,PLAYER,自己去道歉吧？,,
char_134_ifrit_5#3,Ifrit,哼，放心！包在我身上，不就是道个歉嘛！,,
char_134_ifrit_5#3,Ifrit,我们约好了对吧？你可不能反悔不带我去哦！,,
char_134_ifrit_5#5,Ifrit,嘿嘿，海边！嗯，听起来就很有意思呢！,,
char_134_ifrit_5#5,Ifrit,博士！明天见！,,
-----,-----,-----,-----,-----
-----,-----,-----,-----,-----
,Ifrit,......,...,
,Ifrit,你是不是还在看？,,
-----,-----,-----,-----,-----
,Ifrit,哼，我心里清楚得很，那些人怎么看我，怎么想我。,,
,Ifrit,但这有什么关系？我才不在乎，嘁，我才不要在乎。,,
-----,-----,-----,-----,-----
,Ifrit,我一定会把你干掉！,,
,Ifrit,知道吗，就是你老害我丢脸，就是你老让麻烦事缠上我！,,
-----,-----,-----,-----,-----
,,没有我，你是什么？,,
-----,-----,-----,-----,-----
,Ifrit,哈，你以为我还像以前一样怕你吗？,,
